namaresto,cuisines,namatype,ratescore,ratetext,cost,lokasi
 Kopi Kenangan, Coffee, Beverage Shop,34, Average,33000,Jakarta Pusat
 Ice Hill, Beverages, Beverage Shop,33, Average,50000,Jakarta Pusat
 Waroeng Teh Kotjok, Beverages, Beverage Shop,33, Average,30000,Jakarta Pusat
 Chatime, Bubble Tea, Beverage Shop,36, Good,60000,Jakarta Pusat
 Chatime, Bubble Tea, Beverage Shop,34, Average,60000,Jakarta Pusat
 Dum Dum Thai Drinks, Beverages, Beverage Shop,34, Average,50000,Jakarta Pusat
 Chapayom, Beverages, Beverage Shop,32, Average,120000,Jakarta Pusat
 Chatime, Bubble Tea, Beverage Shop,35, Good,60000,Jakarta Pusat
 King Mango Thai, Beverages, Beverage Shop,38, Good,70000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Timur
 Sharetea, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Timur
 Kedai Kopi Kulo, Beverages, Beverage Shop,34, Average,70000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Timur
 Chapayom, Beverages, Beverage Shop,34, Average,120000,Jakarta Timur
 Cimory, Beverages, Beverage Shop,35, Good,75000,Jakarta Timur
 Gulu Gulu, Beverages, Beverage Shop,32, Average,60000,Jakarta Timur
 Calais, Bubble Tea, Beverage Shop,34, Average,70000,Jakarta Timur
 DaYungs Tea, Beverages, Beverage Shop,30, Average,60000,Jakarta Timur
 Dum Dum Thai Drinks, Beverages, Beverage Shop,30, Average,50000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Timur
 King Durian, Beverages, Beverage Shop,33, Average,50000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,35, Good,60000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,33, Average,60000,Jakarta Timur
 GO JUICE, Juices, Beverage Shop,0, Not rated,50000,Jakarta Timur
 Hop Hop, Bubble Tea, Beverage Shop,30, Average,60000,Jakarta Timur
 Rejuve, Beverages, Beverage Shop,34, Average,100000,Jakarta Timur
 Sakura Juice Bar, Beverages, Beverage Shop,31, Average,80000,Jakarta Timur
 Think Thai Tea, Beverages, Beverage Shop,29, Average,60000,Jakarta Timur
 Dum Dum Thai Drinks, Beverages, Beverage Shop,32, Average,50000,Jakarta Timur
 Royale Mango, Beverages, Beverage Shop,34, Average,80000,Jakarta Timur
 MM Juice, Juices, Beverage Shop,33, Average,150000,Jakarta Timur
 Dum Dum Thai Drinks, Beverages, Beverage Shop,32, Average,50000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,34, Average,60000,Jakarta Timur
 Hop Hop, Bubble Tea, Beverage Shop,30, Average,60000,Jakarta Timur
 Hop Hop, Bubble Tea, Beverage Shop,32, Average,60000,Jakarta Timur
 Hop Hop, Bubble Tea, Beverage Shop,30, Average,60000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,28, Average,60000,Jakarta Timur
 Chapayom, Beverages, Beverage Shop,32, Average,120000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,32, Average,60000,Jakarta Timur
 Dum Dum Thai Drinks, Beverages, Beverage Shop,33, Average,50000,Jakarta Timur
 Kedai Kopi Kulo, Beverages, Beverage Shop,0, Not rated,50000,Jakarta Timur
 Dum Dum Thai Drinks, Beverages, Beverage Shop,31, Average,50000,Jakarta Timur
 MM Juice, Indonesian, Beverage Shop,30, Average,180000,Jakarta Timur
 Gulu Gulu, Beverages, Beverage Shop,0, Not rated,60000,Jakarta Timur
 Pondok Delima, Beverages, Beverage Shop,0, Not rated,70000,Jakarta Timur
 Chatime, Bubble Tea, Beverage Shop,0, Not rated,60000,Jakarta Timur
 Kedai Kopi Kulo, Beverages, Beverage Shop,0, Not rated,70000,Jakarta Timur
 KOI Cafe, Bubble Tea, Beverage Shop,42, Very Good,60000,Jakarta Utara
 ShuShu, Beverages, Beverage Shop,45, Excellent,60000,Jakarta Utara
 Kamu Tea, Beverages, Beverage Shop,41, Very Good,60000,Jakarta Utara
 KOI Cafe, Bubble Tea, Beverage Shop,43, Very Good,60000,Jakarta Utara
 Fat straw, Bubble Tea, Beverage Shop,42, Very Good,80000,Jakarta Utara
 Origins Authentic, Beverages, Beverage Shop,40, Very Good,50000,Jakarta Utara
 Calais, Bubble Tea, Beverage Shop,38, Good,70000,Jakarta Utara
 KOI Cafe, Bubble Tea, Beverage Shop,43, Very Good,60000,Jakarta Utara
 Kedai Kopi Kulo, Beverages, Beverage Shop,37, Good,70000,Jakarta Utara
 Kopi Melali, Cafe, Beverage Shop,37, Good,80000,Jakarta Utara
 Gulu Gulu, Beverages, Beverage Shop,36, Good,60000,Jakarta Utara
 KOI Cafe, Bubble Tea, Beverage Shop,42, Very Good,60000,Jakarta Utara
 Chatime, Bubble Tea, Beverage Shop,39, Good,60000,Jakarta Utara
 Dum Dum Thai Drinks, Beverages, Beverage Shop,38, Good,50000,Jakarta Utara
 Yucha, Bubble Tea, Beverage Shop,39, Good,70000,Jakarta Utara
 BubbleZ, Beverages, Beverage Shop,39, Good,60000,Jakarta Utara
 Sharetea, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Utara
 Chatime, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Utara
 Dum Dum Thai Drinks, Beverages, Beverage Shop,39, Good,50000,Jakarta Utara
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Utara
 Sharetea, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Utara
 Kopi Yor, Beverages, Beverage Shop,36, Good,50000,Jakarta Utara
 Dakasi, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Utara
 KOI Cafe, Bubble Tea, Beverage Shop,40, Very Good,60000,Jakarta Utara
 Rinne Cheese Tea, Beverages, Beverage Shop,39, Good,50000,Jakarta Utara
 Chatime, Bubble Tea, Beverage Shop,39, Good,60000,Jakarta Utara
 Tea Amo, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Utara
 Dum Dum Thai Drinks, Beverages, Beverage Shop,38, Good,50000,Jakarta Utara
 Sharetea, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Utara
 YAW TEA, Thai, Beverage Shop,36, Good,50000,Jakarta Utara
 Shiny Tea, Bubble Tea, Beverage Shop,37, Good,50000,Jakarta Utara
 Chatime, Bubble Tea, Beverage Shop,36, Good,60000,Jakarta Utara
 Simply, Juices, Beverage Shop,37, Good,50000,Jakarta Utara
 Chapayom, Beverages, Beverage Shop,39, Good,120000,Jakarta Utara
 Sharetea, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Utara
 Kamu Tea , Bubble Tea, Beverage Shop,34, Average,60000,Jakarta Utara
 Dum Dum Thai Drinks, Beverages, Beverage Shop,37, Good,50000,Jakarta Utara
 Avocado Lovers, Beverages, Beverage Shop,36, Good,50000,Jakarta Utara
 Maw Maw Tea, Beverages, Beverage Shop,34, Average,50000,Jakarta Utara
 Shiny Tea, Bubble Tea, Beverage Shop,35, Good,50000,Jakarta Utara
 Di Bawah Tangga, Coffee, Beverage Shop,42, Very Good,60000,Jakarta Selatan
 Samakamu Kopi, Coffee, Beverage Shop,40, Very Good,60000,Jakarta Selatan
 Kopi SANA, Cafe, Beverage Shop,43, Very Good,50000,Jakarta Selatan
 Kedai Kopi Kulo, Beverages, Beverage Shop,41, Very Good,70000,Jakarta Selatan
 Rejuve, Beverages, Beverage Shop,42, Very Good,100000,Jakarta Selatan
 Kopi Kenangan, Coffee, Beverage Shop,42, Very Good,33000,Jakarta Selatan
 Kopi Kenangan, Coffee, Beverage Shop,43, Sangat Baik,33000,Jakarta Selatan
 Chatime, Bubble Tea, Beverage Shop,39, Good,60000,Jakarta Selatan
 Kopi Kenangan, Coffee, Beverage Shop,39, Good,33000,Jakarta Selatan
 MM Juice, Juices, Beverage Shop,39, Good,150000,Jakarta Selatan
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan
 Kamu Tea, Beverages, Beverage Shop,40, Very Good,60000,Jakarta Selatan
 Kopi Cuan, Coffee, Beverage Shop,40, Very Good,50000,Jakarta Selatan
 Sagaleh, Beverages, Beverage Shop,42, Very Good,50000,Jakarta Selatan
 Suasanakopi, Coffee and Tea, Beverage Shop,38, Good,70000,Jakarta Selatan
 Chatime, Bubble Tea, Beverage Shop,40, Very Good,60000,Jakarta Selatan
 Coco, Bubble Tea, Beverage Shop,40, Very Good,50000,Jakarta Selatan
 Rejuve, Beverages, Beverage Shop,37, Good,100000,Jakarta Selatan
 Kamu Tea Cafe, Beverages, Beverage Shop,40, Very Good,60000,Jakarta Selatan
 Sharetea, Bubble Tea, Beverage Shop,38, Baik,60000,Jakarta Selatan
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan
 Dum Dum Thai Drinks, Beverages, Beverage Shop,38, Good,50000,Jakarta Selatan
 Sunseed Juice Bar, Beverages, Beverage Shop,38, Good,60000,Jakarta Selatan
 Sagaleh, Coffee, Beverage Shop,37, Good,50000,Jakarta Selatan
 Kopi Janji Jiwa, Coffee, Beverage Shop,40, Very Good,80000,Jakarta Selatan
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan
 Presotea, Bubble Tea, Beverage Shop,37, Good,50000,Jakarta Selatan
 Chang Tea, Thai, Beverage Shop,37, Good,40000,Jakarta Selatan
 Tuk Tuk Cha, Beverages, Beverage Shop,38, Good,70000,Jakarta Selatan
 Rejuve, Beverages, Beverage Shop,39, Good,100000,Jakarta Selatan
 Gulu Gulu, Beverages, Beverage Shop,38, Good,60000,Jakarta Selatan
 Sancha, Bubble Tea, Beverage Shop,34, Average,100000,Jakarta Selatan
 Coco, Bubble Tea, Beverage Shop,39, Good,50000,Jakarta Selatan
 Avocado Lovers, Beverages, Beverage Shop,39, Good,50000,Jakarta Selatan
 Gulu Gulu, Beverages, Beverage Shop,36, Good,60000,Jakarta Selatan
 Dum Dum Thai Drinks, Beverages, Beverage Shop,37, Good,50000,Jakarta Selatan
 Quickly, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan
 Ban Ban Cheese Tea, Bubble Tea, Beverage Shop,42, Very Good,70000,Jakarta Barat
 KOI Cafe, Bubble Tea, Beverage Shop,44, Very Good,60000,Jakarta Barat
 KOI Cafe, Bubble Tea, Beverage Shop,44, Very Good,60000,Jakarta Barat
 Jamba Juice, Juices, Beverage Shop,42, Very Good,80000,Jakarta Barat
 Mango Mango, Juices, Beverage Shop,38, Good,50000,Jakarta Barat
 KOI Cafe, Bubble Tea, Beverage Shop,43, Very Good,60000,Jakarta Barat
 Acaraki Jamu, Jawa, Beverage Shop,39, Good,80000,Jakarta Barat
 Sharetea 8, Bubble Tea, Beverage Shop,40, Very Good,60000,Jakarta Barat
 BRUN, Beverages, Beverage Shop,40, Very Good,70000,Jakarta Barat
 Chatime, Bubble Tea, Beverage Shop,40, Very Good,60000,Jakarta Barat
 Calais, Bubble Tea, Beverage Shop,37, Good,70000,Jakarta Barat
 Sharetea, Bubble Tea, Beverage Shop,36, Good,60000,Jakarta Barat
 Kopi Janji Jiwa, Coffee, Beverage Shop,40, Very Good,80000,Jakarta Barat
 Teh Tarik Uncle G, Beverages, Beverage Shop,38, Good,50000,Jakarta Barat
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Barat
 KOI Cafe, Bubble Tea, Beverage Shop,40, Very Good,60000,Jakarta Barat
 KOI Cafe, Bubble Tea, Beverage Shop,42, Very Good,60000,Jakarta Barat
 Presotea, Bubble Tea, Beverage Shop,37, Good,50000,Jakarta Barat
 Chatime, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Barat
 Chatime, Bubble Tea, Beverage Shop,36, Good,60000,Jakarta Barat
 Sharetea, Bubble Tea, Beverage Shop,36, Good,60000,Jakarta Barat
 Chatime, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Barat
 Dum Dum Thai Drinks, Beverages, Beverage Shop,38, Good,50000,Jakarta Barat
 HEYCHA, Beverages, Beverage Shop,38, Good,70000,Jakarta Barat
 Tea Time Cafe, Bubble Tea, Beverage Shop,38, Good,160000,Jakarta Barat
 KOI Cafe, Bubble Tea, Beverage Shop,40, Very Good,60000,Jakarta Barat
 Kedai Kopi Kulo, Beverages, Beverage Shop,36, Good,70000,Jakarta Barat
 Rejuve, Beverages, Beverage Shop,38, Good,100000,Jakarta Barat
 Chapayom, Desserts, Beverage Shop,37, Good,60000,Jakarta Barat
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Barat
 Logika Coffee, Coffee, Beverage Shop,40, Very Good,40000,Jakarta Barat
 Origins Authentic, Beverages, Beverage Shop,34, Average,50000,Jakarta Barat
 Sharetea, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Barat
 Calais, Bubble Tea, Beverage Shop,37, Good,70000,Jakarta Barat
 Mango Tango, Juices, Beverage Shop,25, Average,100000,Jakarta Barat
 Ice Hill, Beverages, Beverage Shop,37, Good,50000,Jakarta Barat
 Kopi Gawe, Coffee, Beverage Shop,36, Good,80000,Jakarta Barat
 Haus, Beverages, Beverage Shop,35, Good,30000,Jakarta Barat
 Kopi Janji Jiwa, Coffee, Beverage Shop,36, Good,80000,Jakarta Barat
 Kedai Kopi Kulo, Beverages, Beverage Shop,36, Good,70000,Jakarta Barat
 Gambino, Beverages, Beverage Shop,27, Average,100000,Jakarta Selatan
 Chang Tea, Beverages, Beverage Shop,39, Good,60000,Jakarta Selatan
 Joe  Dough, Coffee, Café,39, Good,280000,Jakarta Pusat
 Goedkoop, Cafe, Café,42, Very Good,150000,Jakarta Pusat
 Paradigma, Coffee, Café,40, Very Good,200000,Jakarta Pusat
 Gelato Secrets, Ice Cream, Café,46, Excellent,130000,Jakarta Pusat
 Common Grounds, Cafe, Café,43, Very Good,250000,Jakarta Pusat
 Djournal Coffee, Cafe, Café,42, Very Good,150000,Jakarta Pusat
 Kopi Kenangan, Coffee, Café,44, Sangat Baik,200000,Jakarta Pusat
 Tjikini, Coffee, Café,41, Very Good,180000,Jakarta Pusat
 Bakoel Koffie, Coffee, Café,39, Good,250000,Jakarta Pusat
 Caffè Milano, Italian, Café,44, Very Good,600000,Jakarta Pusat
 Watt Coffee, Cafe, Café,42, Very Good,100000,Jakarta Pusat
 Tanamera Coffee Roastery, Coffee, Café,44, Very Good,250000,Jakarta Pusat
 115 Coffee, Cafe, Café,44, Very Good,200000,Jakarta Pusat
 Anomali Coffee, Coffee, Café,40, Very Good,200000,Jakarta Pusat
 Colette  Lola, Desserts, Café,42, Very Good,210000,Jakarta Pusat
 Sabang 16, Cafe, Café,42, Very Good,70000,Jakarta Pusat
 KLTR Coffee Roasters, Coffee, Café,47, Excellent,350000,Jakarta Pusat
 Brownbag, Italian, Café,39, Good,250000,Jakarta Pusat
 Exquise Patisserie, Cafe, Café,43, Very Good,140000,Jakarta Pusat
 Paul, Cafe, Café,43, Very Good,450000,Jakarta Pusat
 Saudagar Kopi, Coffee, Café,42, Very Good,130000,Jakarta Pusat
 Iceberg  Gelato  Pizza, Coffee, Café,39, Good,200000,Jakarta Pusat
 La Maison, Desserts, Café,45, Excellent,150000,Jakarta Pusat
 Pigeonhole Coffee, Cafe, Café,42, Very Good,150000,Jakarta Pusat
 Caribou Coffee, Cafe, Café,43, Very Good,100000,Jakarta Pusat
 Chicory European Patisserie, Cafe, Café,43, Very Good,230000,Jakarta Pusat
 Starbucks Coffee, Cafe, Café,42, Very Good,120000,Jakarta Pusat
 Tobys Estate, Coffee, Café,41, Very Good,300000,Jakarta Pusat
 Work Room Coffee, Coffee, Café,38, Good,180000,Jakarta Pusat
 METRO Coffee Bar etc, Coffee, Café,41, Very Good,200000,Jakarta Pusat
 Upnormal Coffee Roaster, Coffee, Café,41, Very Good,120000,Jakarta Pusat
 Karai Canteen, Cafe, Café,36, Good,100000,Jakarta Pusat
 Starbucks Coffee, Coffee, Café,40, Very Good,160000,Jakarta Pusat
 Wake Cup Coffee, Cafe, Café,41, Very Good,200000,Jakarta Pusat
 ALIBI Coffee, Coffee, Café,36, Good,160000,Jakarta Pusat
 Warung Koffie Batavia, Cafe, Café,38, Good,150000,Jakarta Pusat
 Lobby Resto  Hotel Mercure, Western, Café,38, Good,300000,Jakarta Pusat
 Identic Coffee, Cafe, Café,39, Good,100000,Jakarta Pusat
 Maarkeze, Cafe, Café,41, Very Good,100000,Jakarta Pusat
 Starbucks Coffee, Coffee, Café,40, Very Good,160000,Jakarta Pusat
 Cerita Cafe, Cafe, Café,37, Good,150000,Jakarta Timur
 Rumah Kongkow, Cafe, Café,36, Good,100000,Jakarta Timur
 PAUSE, Cafe, Café,39, Good,200000,Jakarta Timur
 De Facto Coffee  Eatery, Cafe, Café,42, Very Good,150000,Jakarta Timur
 Omija, Cafe, Café,37, Good,150000,Jakarta Timur
 KOPILOT, Coffee, Café,42, Very Good,80000,Jakarta Timur
 ORVIA, Coffee, Café,37, Good,150000,Jakarta Timur
 Kopi Kecil, Cafe, Café,43, Very Good,150000,Jakarta Timur
 404 Eatery and Coffee, Cafe, Café,38, Good,150000,Jakarta Timur
 Monster Shaker, Cafe, Café,37, Good,40000,Jakarta Timur
 Bean  Brew, Cafe, Café,39, Baik,130000,Jakarta Timur
 BEEM Cafe, Coffee, Café,38, Good,100000,Jakarta Timur
 Sanderson Coffee, Cafe, Café,37, Good,150000,Jakarta Timur
 Rumah Mantan Cafe  Nostalgia, Cafe, Café,24, Poor,80000,Jakarta Timur
 COFFEERIGHT, Cafe, Café,41, Very Good,100000,Jakarta Timur
 Kopi Made, Cafe, Café,38, Good,150000,Jakarta Timur
 Torry Coffee, Coffee, Café,36, Good,120000,Jakarta Timur
 Volks Kaffe, Cafe, Café,38, Good,80000,Jakarta Timur
 Dunkin Donuts, Desserts, Café,35, Good,125000,Jakarta Timur
 Anastomosis Coffee, Cafe, Café,37, Good,120000,Jakarta Timur
 Kowok Coffee  Gallery, Coffee, Café,39, Good,160000,Jakarta Timur
 Kopi Gayo Kopitiam Heritage, Coffee, Café,36, Good,160000,Jakarta Timur
 Fat Bubble, Desserts, Café,37, Baik,150000,Jakarta Timur
 Starbucks Coffee, Coffee, Café,38, Good,160000,Jakarta Timur
 Kupinami Cafe, Cafe, Café,40, Very Good,150000,Jakarta Timur
 JCO Donuts  Coffee, Coffee, Café,38, Good,70000,Jakarta Timur
 Jung Coffee, Cafe, Café,36, Good,80000,Jakarta Timur
 Starbucks Coffee, Coffee, Café,38, Good,160000,Jakarta Timur
 Upnormal Coffee Roaster, Coffee, Café,24, Poor,120000,Jakarta Timur
 Duatujulapan Coffee Roastery, Cafe, Café,38, Good,80000,Jakarta Timur
 Starbucks Coffee, Coffee, Café,39, Good,160000,Jakarta Timur
 Dunkin Donuts, Desserts, Café,36, Good,125000,Jakarta Timur
 Baks Coffee  Kitchen, Coffee, Café,36, Good,120000,Jakarta Timur
 Delico, Cafe, Café,33, Average,190000,Jakarta Timur
 Kultur Jaringan Kopi, Coffee, Café,36, Good,60000,Jakarta Timur
 JCO Donuts  Coffee, Coffee, Café,36, Good,70000,Jakarta Timur
 Dapoer Roti Bakar, Coffee, Café,30, Average,70000,Jakarta Timur
 La Coco Cafe, Coffee, Café,35, Good,150000,Jakarta Timur
 Panglima Kopi, Cafe, Café,36, Good,100000,Jakarta Timur
 Excelso, Coffee, Café,36, Good,230000,Jakarta Timur
 MONKS, Western, Café,43, Very Good,250000,Jakarta Utara
 Tobys Estate, Cafe, Café,42, Very Good,300000,Jakarta Utara
 Social Affair, Western, Café,43, Very Good,300000,Jakarta Utara
 Wooyoo, Ice Cream, Café,40, Very Good,150000,Jakarta Utara
 First Crack Coffee, Cafe, Café,46, Terbaik,210000,Jakarta Utara
 Kopium Artisan Coffee, Coffee, Café,43, Very Good,180000,Jakarta Utara
 Hario Cafe, Cafe, Café,43, Very Good,200000,Jakarta Utara
 Amyrea Art  Kitchen, Coffee, Café,42, Very Good,220000,Jakarta Utara
 BERMVDA Coffee, Coffee, Café,45, Excellent,180000,Jakarta Utara
 Portafilter Coffee, Cafe, Café,43, Very Good,150000,Jakarta Utara
 PB Cafe  Resto, Coffee, Café,39, Good,350000,Jakarta Utara
 Ravelle, American, Café,43, Very Good,250000,Jakarta Utara
 Awesome Coffee, Cafe, Café,45, Excellent,200000,Jakarta Utara
 Ombe Kofie, Cafe, Café,45, Excellent,120000,Jakarta Utara
 Lima, Cafe, Café,42, Very Good,250000,Jakarta Utara
 TOF Sicacilla, Cafe, Café,42, Very Good,150000,Jakarta Utara
 Ignasias, Healthy Food, Café,41, Very Good,200000,Jakarta Utara
 Kedai Roti Kobi, Cafe, Café,43, Very Good,100000,Jakarta Utara
 Coffee Kulture, Cafe, Café,39, Good,260000,Jakarta Utara
 Caffe Pralet, Asian, Café,43, Very Good,230000,Jakarta Utara
 Copper Club, Cafe, Café,41, Very Good,150000,Jakarta Utara
 The Hideout, Cafe, Café,42, Very Good,120000,Jakarta Utara
 Tanamera Coffee Roastery, Cafe, Café,42, Very Good,250000,Jakarta Utara
 Kopium Artisan Coffee, Cafe, Café,41, Very Good,120000,Jakarta Utara
 Oetara, Cafe, Café,45, Excellent,150000,Jakarta Utara
 Sensory Lab, Western, Café,41, Very Good,200000,Jakarta Utara
 Monkey Tail Cafe, Cafe, Café,40, Very Good,200000,Jakarta Utara
 One Fine Day Cafe, Coffee, Café,43, Very Good,250000,Jakarta Utara
 Coffee with Me, Coffee, Café,40, Very Good,150000,Jakarta Utara
 FRED, Coffee, Café,28, Average,80000,Jakarta Utara
 Nocturnal, Western, Café,28, Average,300000,Jakarta Utara
 Conversations Over Coffee, Cafe, Café,41, Very Good,90000,Jakarta Utara
 Sensory Lab, Western, Café,42, Very Good,200000,Jakarta Utara
 Muju Avenue, Cafe, Café,41, Very Good,230000,Jakarta Utara
 Wake Cup Coffee, Cafe, Café,39, Good,200000,Jakarta Utara
 Native Coffee Tribe, Cafe, Café,42, Very Good,100000,Jakarta Utara
 Mokka Coffee Cabana, Cafe, Café,40, Very Good,240000,Jakarta Utara
 North Pole Cafe, Cafe, Café,39, Good,150000,Jakarta Utara
 Coffee AYA, Coffee, Café,41, Very Good,150000,Jakarta Utara
 HYGGE Coffee, Cafe, Café,42, Very Good,225000,Jakarta Utara
 BEAU by Talita Setyadi, Cafe, Café,44, Very Good,150000,Jakarta Selatan
 Fedwell, Healthy Food, Café,47, Excellent,250000,Jakarta Selatan
 Ottomans Coffee Brewers, Cafe, Café,42, Very Good,200000,Jakarta Selatan
 Toodz House, Cafe, Café,47, Terbaik,240000,Jakarta Selatan
 Mangia, Cafe, Café,43, Very Good,250000,Jakarta Selatan
 Kopi Kalyan, Cafe, Café,43, Very Good,100000,Jakarta Selatan
 Crematology Coffee Roasters, Coffee, Café,42, Very Good,250000,Jakarta Selatan
 Kopi Nalar, Coffee, Café,44, Very Good,170000,Jakarta Selatan
 Pison Coffee, Cafe, Café,44, Very Good,150000,Jakarta Selatan
 Gordi HQ, Cafe, Café,44, Very Good,150000,Jakarta Selatan
 Paul, Cafe, Café,43, Very Good,450000,Jakarta Selatan
 Lewis  Carroll Tea, Coffee, Café,45, Excellent,200000,Jakarta Selatan
 Fat Bubble, Desserts, Café,41, Very Good,150000,Jakarta Selatan
 115 Coffee, Coffee, Café,43, Very Good,280000,Jakarta Selatan
 Kedai Filosofi Kopi, Coffee, Café,41, Very Good,100000,Jakarta Selatan
 Monolog, Coffee, Café,42, Very Good,400000,Jakarta Selatan
 Caribou Coffee, Coffee, Café,42, Very Good,100000,Jakarta Selatan
 Anomali Coffee, Coffee, Café,42, Very Good,200000,Jakarta Selatan
 Trafique Coffee, Cafe, Café,42, Very Good,100000,Jakarta Selatan
 Happiness Kitchen  Coffee, Coffee, Café,41, Very Good,100000,Jakarta Selatan
 Journey Coffee, Cafe, Café,37, Good,120000,Jakarta Selatan
 ST ALi, Coffee, Café,39, Good,350000,Jakarta Selatan
 Komunal88, Italian, Café,43, Very Good,430000,Jakarta Selatan
 Sajiva Coffee Company, Coffee, Café,43, Very Good,230000,Jakarta Selatan
 Walking Drums, Cafe, Café,41, Very Good,150000,Jakarta Selatan
 Woodpecker Coffee, Cafe, Café,41, Very Good,80000,Jakarta Selatan
 Roti Eneng, Coffee, Café,43, Very Good,70000,Jakarta Selatan
 Mister  Sunday, Cafe, Café,41, Very Good,150000,Jakarta Selatan
 Casadina Kitchen  Bakery, Cafe, Café,40, Very Good,200000,Jakarta Selatan
 Kopimana 27, Coffee, Café,45, Excellent,130000,Jakarta Selatan
 7 Speed Coffee, Coffee, Café,46, Excellent,160000,Jakarta Selatan
 The Reading Room, Cafe, Café,37, Good,160000,Jakarta Selatan
 Kopi Manyar, Cafe, Café,42, Very Good,80000,Jakarta Selatan
 Kanawa Coffee  Munch, Coffee, Café,39, Good,150000,Jakarta Selatan
 Sophie Authentique, Coffee, Café,43, Very Good,200000,Jakarta Selatan
 Sama Dengan, Cafe, Café,45, Excellent,100000,Jakarta Selatan
 Cliq Coffee, Coffee, Café,41, Very Good,160000,Jakarta Selatan
 Kopikina, Cafe, Café,39, Good,100000,Jakarta Selatan
 On Three, Cafe, Café,43, Very Good,150000,Jakarta Selatan
 Sophie Authentique, Coffee, Café,42, Very Good,200000,Jakarta Selatan
 The Baileys and Chloe, Western, CafÃ,42, Very Good,150000,Jakarta Barat
 Ardent Coffee  Kitchen, Coffee, CafÃ,44, Sangat Baik,350000,Jakarta Barat
 Crematology Coffee Roasters, Cafe, CafÃ,45, Excellent,200000,Jakarta Barat
 Common Grounds, Cafe, CafÃ,43, Very Good,250000,Jakarta Barat
 Simetri Coffee Roasters, Cafe, CafÃ,43, Very Good,200000,Jakarta Barat
 Three Folks, Coffee, CafÃ,44, Very Good,150000,Jakarta Barat
 Kedai Seni Djakarte, Cafe, CafÃ,41, Very Good,80000,Jakarta Barat
 Dancing Goat Coffee Co, Cafe, CafÃ,43, Sangat Baik,150000,Jakarta Barat
 The Cortado, Cafe, CafÃ,38, Good,150000,Jakarta Barat
 Djournal Coffee, Cafe, CafÃ,41, Very Good,150000,Jakarta Barat
 Blacklisted, Western, CafÃ,39, Good,300000,Jakarta Barat
 Say Something Coffee, Cafe, CafÃ,41, Sangat Baik,100000,Jakarta Barat
 Dinobites Cafe, Cafe, CafÃ,43, Very Good,120000,Jakarta Barat
 Colette  Lola, Desserts, CafÃ,41, Very Good,210000,Jakarta Barat
 Coteca, Cafe, CafÃ,40, Very Good,150000,Jakarta Barat
 My Warm Day, Taiwanese, CafÃ,39, Good,250000,Jakarta Barat
 Historia Kotatua, Cafe, CafÃ,40, Very Good,250000,Jakarta Barat
 Mokka Coffee Cabana, Cafe, CafÃ,37, Good,240000,Jakarta Barat
 Guten Morgen Coffee Lab  Shop, Cafe, CafÃ,43, Very Good,150000,Jakarta Barat
 Papa  Mama Bistro and Coffee, Cafe, CafÃ,42, Very Good,150000,Jakarta Barat
 Seulawah Coffee, Cafe, CafÃ,24, Poor,70000,Jakarta Barat
 St Marc Cafe, Cafe, CafÃ,40, Very Good,120000,Jakarta Barat
 Tous Les Jours, Bakery, CafÃ,40, Very Good,135000,Jakarta Barat
 Kedai Lante Satu, Coffee, CafÃ,39, Good,140000,Jakarta Barat
 Bobba House, Cafe, CafÃ,39, Good,190000,Jakarta Barat
 TOSKA, Cafe, CafÃ,41, Very Good,150000,Jakarta Barat
 KOFIÄ Coffee  Tea Shop, Cafe, CafÃ,42, Very Good,160000,Jakarta Barat
